read_length,gc_content,avg_quality
206,54.85436893203883,20.62621359223301
246,49.59349593495935,24.853658536585368
270,43.333333333333336,15.277777777777779
260,64.23076923076924,22.68846153846154
210,46.666666666666664,11.204761904761904
235,45.1063829787234,18.5531914893617
227,46.69603524229075,25.29955947136564
192,46.875,32.046875
861,50.522648083623686,17.88269454123113
1190,40.33613445378151,26.287394957983192
701,54.20827389443652,30.713266761768903
242,54.958677685950406,8.214876033057852
445,60.22471910112359,7.089887640449438
638,52.82131661442007,28.711598746081506
301,51.82724252491694,24.940199335548172
742,53.23450134770889,5.725067385444744
2880,53.81944444444444,28.22222222222222
943,63.41463414634146,31.073170731707318
487,41.889117043121146,28.946611909650922
1168,57.36301369863014,11.038527397260275
667,56.07196401799101,30.2503748125937
981,56.67686034658511,30.712538226299696
303,54.78547854785478,23.514851485148515
320,51.87500000000001,26.809375
231,59.74025974025974,21.826839826839826
176,48.29545454545455,10.181818181818182
383,51.174934725848566,19.911227154046998
232,55.603448275862064,17.646551724137932
258,60.46511627906976,29.65891472868217
250,48.0,29.008
319,46.39498432601881,21.479623824451412
221,44.79638009049774,16.76923076923077
320,55.3125,12.425
201,46.766169154228855,23.393034825870647
312,55.12820512820513,7.955128205128205
1634,68.42105263157895,27.35924112607099
634,49.52681388012618,13.537854889589905
508,49.01574803149607,24.8248031496063
1024,66.50390625,8.34375
617,51.86385737439222,28.491085899513777
466,51.28755364806867,25.761802575107296
341,47.50733137829912,23.096774193548388
1769,54.04183154324477,11.071226681741097
385,52.72727272727272,9.638961038961039
403,43.424317617866,30.084367245657567
669,45.14200298953662,10.905829596412556
1909,59.350445259298056,19.040335254059716
559,61.53846153846154,20.881932021466906
483,57.971014492753625,27.097308488612835
1266,59.3996840442338,29.71484992101106
637,53.218210361067506,8.092621664050235
2692,54.08618127786033,23.822065378900447
1070,53.73831775700935,20.994392523364485
327,43.730886850152906,7.198776758409786
499,59.919839679358724,4.925851703406813
463,67.3866090712743,28.31317494600432
3598,56.97609783212896,19.819622012229015
1201,58.78434637801831,12.114071606994171
1877,48.21523708044752,5.965370271710176
623,56.01926163723917,31.345104333868377
847,53.955135773317586,7.8229043683589135
3981,37.75433308214017,34.39638281838734
188,50.0,23.93617021276596
322,53.105590062111794,25.934782608695652
181,42.5414364640884,4.889502762430939
302,57.94701986754966,19.94701986754967
296,50.33783783783784,12.780405405405405
169,42.60355029585799,26.840236686390533
199,48.743718592964825,7.115577889447236
340,55.58823529411765,13.408823529411764
233,50.64377682403433,26.948497854077253
281,52.313167259786475,26.01423487544484
1472,55.63858695652174,14.254076086956522
872,59.05963302752294,26.611238532110093
2190,56.3013698630137,25.47214611872146
422,42.65402843601896,8.296208530805687
671,61.99701937406855,31.077496274217587
218,58.71559633027523,7.5963302752293576
164,37.80487804878049,14.134146341463415
216,58.79629629629629,15.86111111111111
247,48.582995951417004,24.48582995951417
257,56.809338521400775,15.501945525291829
336,60.71428571428571,34.541666666666664
230,57.391304347826086,15.965217391304348
340,50.882352941176464,17.676470588235293
320,53.43750000000001,7.4
433,51.50115473441108,25.40415704387991
186,50.0,28.20967741935484
635,63.46456692913386,19.823622047244093
1332,51.27627627627628,22.11036036036036
582,53.43642611683849,9.594501718213058
743,65.814266487214,23.790040376850605
610,53.278688524590166,7.9573770491803275
2772,54.076479076479075,7.073953823953824
702,52.42165242165242,6.710826210826211
567,48.500881834215164,11.843033509700176
275,50.18181818181818,13.283636363636363
803,45.952677459526775,7.7272727272727275
537,57.35567970204841,30.08193668528864
899,46.82981090100111,13.478309232480534
1370,60.21897810218978,28.28175182481752
4467,59.36870382807253,20.164987687486008
797,53.70138017565872,26.232120451693852
477,54.71698113207547,28.628930817610062
845,56.80473372781065,9.985798816568048
658,53.03951367781154,7.390577507598784
534,51.49812734082397,32.649812734082396
1232,55.68181818181818,9.010551948051948
337,46.58753709198813,5.765578635014837
874,55.72082379862701,10.342105263157896
453,53.42163355408388,10.434878587196469
431,55.68445475638051,6.361948955916473
447,46.308724832214764,21.796420581655482
648,43.67283950617284,6.390432098765432
675,65.48148148148148,17.226666666666667
1113,45.55256064690027,7.325247079964061
1488,49.596774193548384,30.849462365591396
807,53.90334572490706,11.855018587360595
178,53.93258426966292,23.421348314606742
188,47.340425531914896,21.180851063829788
193,50.77720207253886,20.958549222797927
198,51.515151515151516,22.47979797979798
257,42.4124513618677,10.385214007782102
241,35.26970954356847,34.995850622406635
251,44.6215139442231,7.776892430278885
